Time	Hip_Knee_Angle_right X
21.719999	106.82997131	
21.740000	105.72882080	
21.760000	104.70772552	
21.779999	103.78150177	
21.799999	102.96392822	
21.820000	102.16664124	
21.840000	101.54647064	
21.859999	101.00811005	
21.879999	100.50341034	
21.900000	99.84299469	
21.920000	99.28385925	
21.939999	98.71736908	
21.959999	98.30288696	
21.980000	97.79222870	
22.000000	97.42000580	
22.020000	97.08258057	
22.039999		
22.059999		
