Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
3.720000	-0.91163367	-0.54322278	1.13974369	-0.20941836	0.01339539	0.20984633	0.66425461	0.52788359	-0.59615082	
3.740000	-0.91578394	-0.54289895	1.14390659	-0.19295456	0.02448657	0.19450206	0.79224855	0.72391671	-0.61977220	
3.760000	-0.91941291	-0.54239279	1.14757073	-0.17513674	0.03982632	0.17960794	0.88699120	1.01233411	-0.48448211	
3.780000	-0.92273104	-0.54146153	1.15101707	-0.15730058	0.06091841	0.16868469	0.97361618	1.40065074	-0.13161556	
3.800000	-0.92562789	-0.54019248	1.15417969	-0.13816699	0.09128001	0.16559637	1.09425783	1.87198484	0.43816769	
3.820000	-0.92829823	-0.53819895	1.15751207	-0.11652629	0.13302162	0.17684209	1.28806865	2.35218978	1.13233089	
3.840000	-0.93053514	-0.53543597	1.16106701	-0.09000422	0.18745604	0.20794357	1.57231343	2.69694138	1.78461432	
3.860000	-0.93220687	-0.53122771	1.16559517	-0.05689857	0.25119498	0.25755847	1.94998801	2.72219205	2.19191432	
3.880000	-0.93308127	-0.52562338	1.17126727	-0.01498311	0.31527665	0.31563249	2.42597318	2.26377487	2.18550420	
3.900000	-0.93305719	-0.51825839	1.17863226	0.03708922	0.36577046	0.36764607	3.00361085	1.23032951	1.77142382	
3.920000	-0.93195802	-0.50990796	1.18705475	0.10147438	0.38726276	0.40033674	3.67298555	-0.31929725	1.27517557	
3.940000	-0.92953020	-0.50113177	1.19616055	0.18048999	0.36758640	0.40950751	4.37835169	-2.16383624	1.20029271	
3.960000	-0.92538315	-0.49332750	1.20499825	0.27614027	0.30077425	0.40831187	4.99844456	-3.96838379	1.78189564	
3.980000	-0.91912597	-0.48740792	1.21361184	0.38741365	0.19260600	0.43265045	5.32301426	-5.37201881	2.79131722	
4.000000	-0.91037703	-0.48446822	1.22284150	0.50705922	0.05715661	0.51027042	5.06095505	-6.05590010	3.69721770	
4.020000	-0.89892250	-0.48487568	1.23430324	0.62097734	-0.08470152	0.62672740	3.95632386	-5.86387730	3.84341407	
4.040000	-0.88484180	-0.48851764	1.24884737	0.70626831	-0.21172753	0.73732185	1.95924664	-4.88460350	2.73065519	
4.060000	-0.86889428	-0.49471891	1.26595819	0.73552227	-0.30313471	0.79553986	-0.72965169	-3.37180614	0.39800313	
4.080000	-0.85239130	-0.50247139	1.28419137	0.69088465	-0.35090658	0.77489161	-3.67320251	-1.63372743	-2.50632882	
4.100000	-0.83767575	-0.51062495	1.30101478	0.57366121	-0.35882479	0.67664051	-6.21433878	-0.01450019	-4.90947056	
