Time	Knee_Angle_right X
21.500000	134.26083374	
21.520000	133.58232117	
21.539999	133.89401245	
21.559999	135.03587341	
21.580000	136.78881836	
21.600000	138.86352539	
21.619999	140.98205566	
21.639999	142.87391663	
21.660000	144.42976379	
21.680000	145.67994690	
21.699999	146.85989380	
21.719999	148.17283630	
21.740000	149.74958801	
21.760000	151.19267273	
21.779999	152.42819214	
21.799999	153.44250488	
21.820000	154.46537781	
21.840000	155.20996094	
21.859999	155.86404419	
21.879999	156.46907043	
21.900000	157.39802551	
21.920000	158.14996338	
21.939999	158.82539368	
21.959999	159.22070313	
21.980000	159.68211365	
22.000000	159.97138977	
22.020000	160.18518066	
22.039999		
22.059999		
