Time	Left_Heel_y_baseline X
20.719999	-0.00410527	
20.740000	0.00178690	
20.760000	0.00552970	
20.779999	0.00970338	
20.799999	0.01018219	
20.820000	0.01044768	
20.840000	0.00987493	
20.859999	0.00758921	
20.879999	0.00421202	
20.900000	-0.00141813	
20.920000	-0.00506184	
20.939999	-0.00782247	
20.959999	-0.00821590	
20.980000	-0.00887811	
21.000000	-0.00928752	
21.020000	-0.00817394	
21.039999	-0.00684910	
21.059999	-0.00383730	
21.080000	-0.00201668	
21.100000	0.00290889	
21.119999	0.00672024	
21.139999	0.01223433	
21.160000	0.01452659	
21.180000	0.01645981	
21.199999	0.01659593	
21.219999	0.01416631	
21.240000	0.00995067	
21.260000	0.00259691	
21.279999	-0.00344633	
21.299999	-0.00836287	
21.320000	-0.01014093	
21.340000	-0.01118696	
21.359999	-0.01181458	
21.379999	-0.01158205	
21.400000	-0.01068380	
21.420000	-0.00791663	
21.439999	-0.00599201	
21.459999	-0.00215997	
21.480000	0.00009361	
21.500000	0.00428613	
21.520000	0.00642814	
21.539999	0.00758921	
21.559999	0.00679456	
21.580000	0.00272015	
21.600000	-0.00165232	
21.619999	-0.00720672	
21.639999	-0.00948179	
21.660000	-0.01118696	
21.680000	-0.01170978	
21.699999	-0.01255152	
21.719999	-0.01287003	
21.740000	-0.01222521	
21.760000	-0.01135911	
21.779999	-0.00836062	
21.799999	-0.00632589	
21.820000	-0.00296302	
21.840000	-0.00173296	
21.859999	0.00008520	
21.879999	0.00067312	
21.900000	-0.00005235	
21.920000	-0.00169714	
21.939999	-0.00448990	
21.959999	-0.00568700	
21.980000	-0.00723313	
22.000000	-0.00763045	
22.020000	-0.00831048	
22.039999	-0.00854711	
